intaglio_depth,security_thread_visible,watermark_clarity,color_shift_ink,microprint_score,uv_fluorescence,serial_number_font,denomination,label
0.17794,0.147144,0.096363,0.013864,0.091118,0.837294,0.008737,500,1
0.092519,0.089853,0.232237,0.055013,0.095842,0.81591,0.025635,10,0
0.143422,0.220647,0.18126,0.026286,0.078364,0.758979,0.019336,500,1
0.116937,0.153503,0.068173,0.022394,0.101601,0.878003,0.017242,100,0
0.191427,0.220236,0.164854,0.042633,0.114074,0.787438,0.028586,10,0
0.108448,0.085173,0.148151,0.114404,0.139401,0.830058,0.034826,100,0
0.168708,0.154783,0.149542,0.082758,0.111773,0.793642,0.026538,200,0
0.160499,0.190311,0.278364,0.053669,0.062586,0.730789,0.017066,500,1
0.145659,0.166982,0.186383,0.092652,0.162023,0.798544,0.031101,20,1
0.288165,0.268687,0.05448,0.007656,0.074291,0.742508,0.027576,50,0
0.08007,0.097807,0.084565,0.017149,0.078767,0.914941,0.015792,100,0
0.168341,0.143168,0.129908,0.056761,0.10964,0.797643,0.029027,50,0
0.126183,0.155249,0.214539,0.150936,0.288153,0.789168,0.075731,100,1
0.075141,0.092359,0.094025,0.019573,0.071614,0.807441,0.020174,10,0
0.152118,0.198616,0.087577,0.006794,0.114436,0.849612,0.007364,20,0
0.1289,0.086087,0.052706,0.040989,0.037229,0.851769,0.015024,10,0
0.137758,0.10359,0.050654,0.045131,0.070773,0.868472,0.012922,100,0
0.177993,0.186758,0.104493,0.049701,0.076428,0.834515,0.022275,200,1
0.137104,0.143109,0.022405,0.049478,0.094302,0.868729,0.003608,100,0
0.172288,0.18861,0.192201,0.057979,0.132414,0.767772,0.015316,100,0
0.160497,0.16993,0.177569,0.076914,0.131461,0.808073,0.048664,500,0
0.140124,0.132562,0.187658,0.104523,0.113542,0.756083,0.05072,10,1
0.100976,0.101771,0.084585,0.026831,0.070013,0.900595,0.005517,50,0
0.140026,0.089051,0.116208,0.060475,0.179247,0.876945,0.054349,50,0
0.114313,0.197166,0.139127,0.014194,0.080235,0.822108,0.008326,20,0
0.138661,0.168096,0.13022,0.067231,0.189381,0.82973,0.035298,200,0
0.100305,0.108883,0.104422,0.098669,0.063482,0.879628,0.027812,100,1
0.097177,0.174537,0.15213,0.055378,0.054932,0.792268,0.016486,100,0
0.092852,0.091204,0.102625,0.036851,0.088752,0.853173,0.014126,200,0
0.13106,0.163743,0.09797,0.054311,0.086368,0.857186,0.034183,20,0
0.124969,0.191687,0.161365,0.007771,0.067099,0.818793,0.006479,500,1
0.220585,0.186098,0.0132,0.024029,0.092431,0.832498,0.023425,10,0
0.210629,0.243825,0.191006,0.016737,0.119644,0.7881,0.013828,50,0
0.171221,0.217239,0.249612,0.02207,0.122094,0.743803,0.012642,10,0
0.156499,0.140145,0.105999,0.102521,0.127656,0.748545,0.028121,10,0
